icao24,origin_country,velocity,on_ground
a3b7d1,United States,225.46,False
8014df,India,239.84,False
accd23,United States,60.8,False
a3b7cb,United States,167.57,False
8014f7,India,207.1,False
8014f8,India,257.14,False
a40d8d,United States,204.13,False
e0b255,Argentina,254.47,False
a39d9b,United States,223.93,False
adb7dc,United States,126.49,False
a40d7a,United States,205.08,False
8a0449,Indonesia,195.44,False
acba1b,United States,152.06,False
a2ba4f,United States,109.98,False
ac21af,United States,287.7,False
8a0442,Indonesia,184.17,False
86cef4,Japan,293.18,False
c80a97,New Zealand,35.9,False
c04826,Canada,223.92,False
a4d7e0,United States,211.59,False
87453a,Japan,5.66,True
a4d7e4,United States,227.5,False
86cee7,Japan,268.83,False
8014d6,India,149.11,False
a39d95,United States,263.44,False
86388c,Japan,44.47,False
7c1c4f,Australia,123.98,False
a63a7f,United States,68.22,False
a09322,United States,198.16,False
ab026f,United States,69.21,False
aaf58b,United States,64.23,False
8a03a5,Indonesia,240.94,False
a1bfac,United States,213.62,False
7809b5,China,218.02,False
8014fd,India,221.83,False
c07c7b,Canada,222.81,False
a3a61b,United States,132.14,False
a6191c,United States,46.99,False
c07c92,Canada,186.15,False
a594fa,United States,178.78,False
a46304,United States,197.94,False
c81cb1,New Zealand,44.56,False
a88d47,United States,242.3,False
801602,India,1.03,True
a51a71,United States,158.37,False
a76d5a,United States,205.96,False
7c1c10,Australia,4.63,True
aa2a54,United States,273.98,False
a0802e,United States,55.58,False
a1bff9,United States,185.41,False
a40ca4,United States,129.73,False
801603,India,240.43,False
801604,India,240.85,False
aa91b5,United States,102.89,False
a831ad,United States,0.0,True
e07542,Argentina,167.76,False
a977bb,United States,197.15,False
a76d90,United States,103.64,False
a9fd06,United States,51.65,False
885282,Thailand,229.92,False
a977d4,United States,222.47,False
ac47b7,United States,200.89,False
a09357,United States,42.91,False
a8dd27,United States,49.24,False
a88d52,United States,289.57,False
ab5dd4,United States,256.19,False
a60652,United States,41.7,False
a46345,United States,223.97,False
a72640,United States,183.43,False
ac2412,United States,263.89,False
801767,India,5.14,True
a52ce7,United States,54.02,True
80175a,India,188.78,False
801768,India,96.83,False
c81ac5,New Zealand,8.75,True
a5d319,United States,0.0,True
c07e33,Canada,230.15,False
801778,India,259.85,False
801775,India,251.79,False
a34358,United States,2.31,True
c035cc,Canada,224.18,False
a2dffe,United States,202.92,False
c81ad5,New Zealand,52.65,False
a22358,United States,226.36,False
abadd6,United States,209.6,False
a59689,United States,42.97,False
c07e62,Canada,228.72,False
ac2439,United States,193.22,False
a3431a,United States,38.15,False
ab5dfa,United States,189.46,False
c07e59,Canada,233.06,False
8852e4,Thailand,245.91,False
a46310,United States,215.23,False
c035d4,Canada,0.0,True
a1acdb,United States,192.9,False
c06b22,Canada,52.53,False
8852e2,Thailand,206.64,False
80173e,India,224.42,False
a71329,United States,210.92,False
0d10e3,Mexico,226.48,False
0d10e4,Mexico,189.21,False
a2107b,United States,232.96,False
7cb036,Australia,44.86,False
3c4b32,Germany,268.75,False
abadf9,United States,0.0,True
a45051,United States,220.17,False
ab4af1,United States,205.08,False
0d10f0,Mexico,259.77,False
a65fae,United States,188.73,False
a8dd7a,United States,53.53,False
ad444d,United States,228.92,False
a85931,United States,148.96,False
0d10fd,Mexico,187.82,False
a52cc8,United States,167.1,False
a008aa,United States,203.93,False
a6afaa,United States,154.32,False
abf11f,United States,237.89,False
4cc279,Iceland,279.5,False
a4634b,United States,147.82,False
801799,India,265.2,False
a3a65f,United States,267.93,False
3443cc,Spain,16.46,False
801792,India,180.61,False
ac247a,United States,197.53,False
a39e0c,United States,215.52,False
ada5ee,United States,213.39,False
aa3f00,United States,69.21,False
ac6b88,United States,191.72,False
0ac3f7,Colombia,96.15,False
addb2b,United States,278.22,False
a2ce05,United States,190.85,False
0d10ac,Mexico,237.2,False
a235b7,United States,196.98,False
c01049,Canada,220.32,False
a6f35c,United States,259.3,False
80047a,India,223.79,False
a45072,United States,267.5,False
0d10bb,Mexico,222.61,False
0d10d8,Mexico,224.08,False
a9fcc7,United States,63.17,False
7c0a92,Australia,154.25,False
e0b198,Argentina,109.5,False
a8469e,United States,222.08,False
a95354,United States,86.91,False
e48ad5,Brazil,221.97,False
e48ad4,Brazil,187.12,False
ae62e6,United States,158.54,False
4bb4f4,Turkey,108.93,False
4aca63,Sweden,262.19,False
7c1cb2,Australia,55.08,False
4aca65,Sweden,261.25,False
4aca67,Sweden,286.76,False
a26b51,United States,209.87,False
8016a7,India,252.88,False
a27e88,United States,166.57,False
a092ea,United States,208.81,False
ac370b,United States,0.32,True
a89fda,United States,236.92,False
a7cfe3,United States,65.85,False
a475a3,United States,63.8,False
ab1747,United States,55.75,False
a15e70,United States,122.17,False
a355b1,United States,5.14,True
ab5dab,United States,94.47,False
a8efba,United States,75.06,False
7c2fb7,Australia,47.18,False
a88ccf,United States,211.81,False
ac3731,United States,214.23,False
8015c2,India,213.03,False
a3a5eb,United States,231.38,False
ab4b20,United States,81.36,False
8015c9,India,197.98,False
8015c7,India,204.07,False
a8de10,United States,206.63,False
a88e29,United States,199.59,False
8015d2,India,140.16,False
8015d3,India,182.65,False
e0744b,Argentina,193.03,False
ac48f3,United States,74.58,False
8015d1,India,101.61,False
ac48f2,United States,0.0,True
a582bb,United States,253.14,False
c0360e,Canada,263.51,False
0180ad,Libyan Arab Jamahiriya,230.21,False
abae2c,United States,134.58,False
873356,Japan,239.63,False
ab4b34,United States,200.25,False
a38b61,United States,67.91,False
aa2b21,United States,3.86,True
a3db5e,United States,192.41,False
a475d8,United States,258.28,False
ab5e6c,United States,120.26,False
a15e9b,United States,128.7,False
a9a397,United States,179.35,False
a88e2e,United States,171.36,False
ab4b50,United States,56.41,False
e0b111,Argentina,231.69,False
885310,Thailand,207.73,False
ac22c5,United States,185.52,False
c06a9b,Canada,286.91,False
8015fc,India,242.11,False
e0b147,Argentina,220.92,False
885308,Thailand,234.99,False
a7009b,United States,45.28,False
a0f70c,United States,5.14,True
acce3f,United States,201.61,False
ad8b28,United States,62.07,False
a3a5d9,United States,114.03,False
0d116a,Mexico,276.5,False
aae2db,United States,140.37,False
8015e4,India,224.41,False
3c4ad8,Germany,226.82,False
8015e7,India,83.86,False
acce75,United States,214.58,False
a64e2a,United States,69.88,False
ada5d1,United States,42.42,False
781a98,China,258.99,False
a2bb83,United States,241.62,False
ad9e73,United States,215.14,False
3c4ada,Germany,228.0,False
abae8f,United States,71.51,False
88530b,Thailand,225.83,False
88530d,Thailand,87.61,False
a38b84,United States,261.13,False
a52e5b,United States,190.28,False
a618f5,United States,56.16,False
e48b66,Brazil,217.55,False
4bc859,Turkey,230.51,False
a0f73c,United States,203.59,False
a99b5f,United States,268.22,False
0d111b,Mexico,200.56,False
0d1138,Mexico,3.86,True
ada64d,United States,288.34,False
0d112c,Mexico,220.7,False
a3a736,United States,30.19,False
c06a7a,Canada,210.56,False
ada699,United States,112.47,False
ac1068,United States,183.11,False
a87b8a,United States,183.56,False
0d113a,Mexico,100.05,False
0d113b,Mexico,75.34,False
0d1151,Mexico,212.67,False
ada66e,United States,193.86,False
c06a88,Canada,259.64,False
c06a82,Canada,228.31,False
4bc88b,Turkey,235.49,False
a582f9,United States,248.11,False
a21127,United States,194.01,False
a5d2d4,United States,273.94,False
ad438e,United States,60.72,False
ad438d,United States,219.99,False
a51b93,United States,8.23,True
a40dbb,United States,123.47,False
ad3067,United States,230.09,False
8518d0,Japan,274.95,False
80171b,India,0.0,True
a39dca,United States,176.03,False
a23797,United States,180.29,False
ab28d7,United States,82.83,False
ad3098,United States,279.93,False
ac7e15,United States,176.57,False
a8de33,United States,114.21,False
ac48ac,United States,229.56,False
8518f2,Japan,183.55,False
702033,Bangladesh,233.69,False
ac48d3,United States,84.76,False
a23778,United States,99.25,False
4bc887,Turkey,236.17,False
abf09e,United States,272.24,False
4bb563,Turkey,227.97,False
ab15c1,United States,209.81,False
4bc890,Turkey,224.43,False
a845f4,United States,259.58,False
a4996b,United States,192.34,False
a36661,United States,148.43,False
4bb47a,Turkey,0.0,True
a0f355,United States,204.38,False
801878,India,1.03,True
a54fcb,United States,146.75,False
ac4713,United States,216.81,False
c058ae,Canada,126.14,False
ac4717,United States,2.57,True
a35336,United States,211.5,False
7c0ada,Australia,27.48,True
a2467a,United States,226.46,False
a1cffd,United States,183.86,False
4068f6,United Kingdom,0.0,True
7cc427,Australia,42.95,False
a8b915,United States,71.73,False
c058cb,Canada,239.23,False
a3795a,United States,237.87,False
a7361c,United States,79.08,False
801862,India,242.01,False
4bb470,Turkey,188.61,False
801864,India,175.61,False
ab274c,United States,254.64,False
80184e,India,0.06,True
ab0104,United States,177.59,False
a3661f,United States,5.4,True
49f01f,Czech Republic,15.43,True
80185f,India,279.62,False
4bb46f,Turkey,226.43,False
702087,Bangladesh,283.75,False
702086,Bangladesh,266.4,False
440058,Austria,238.2,False
3c4a13,Germany,239.23,False
a1139f,United States,203.06,False
3c4a04,Germany,242.97,False
abaaa8,United States,219.6,False
80058a,India,246.58,False
738053,Israel,206.4,False
738052,Israel,224.02,False
7c615c,Australia,78.23,False
738056,Israel,79.67,False
ac7aa9,United States,257.66,False
a11380,United States,221.21,False
70209a,Bangladesh,278.84,False
a3401a,United States,169.67,False
87cc0a,Japan,88.44,False
a74923,United States,213.23,False
ad6755,United States,211.67,False
452051,Bulgaria,149.7,False
ad6758,United States,230.54,False
a2dce1,United States,217.59,False
ab5ade,United States,223.77,False
e80046,Chile,196.02,False
e80048,Chile,234.33,False
e80047,Chile,72.62,False
e80043,Chile,168.23,False
aa3b92,United States,0.0,True
e0b04f,Argentina,242.93,False
a7ccce,United States,256.65,False
a7101e,United States,244.33,False
a6f00d,United States,242.84,False
a9c631,United States,229.2,False
a4c37e,United States,196.79,False
8a064d,Indonesia,171.56,False
c04671,Canada,126.07,False
a59398,United States,202.41,False
874846,Japan,211.04,False
a8431a,United States,215.18,False
a258b7,United States,187.76,False
a258b4,United States,137.7,False
a8697f,United States,139.53,False
adc8e8,United States,44.14,False
a8b964,United States,172.5,False
a4b074,United States,57.65,False
a4b065,United States,66.37,False
a5939c,United States,227.43,False
abab67,United States,70.79,False
ac32f2,United States,9.77,True
aa3ae4,United States,219.21,False
8a0638,Indonesia,127.79,False
aa3ae5,United States,77.69,False
aa3ae2,United States,169.01,False
a8699a,United States,208.76,False
aa3ad9,United States,28.96,False
accb50,United States,244.83,False
a138b8,United States,215.73,False
a6f01c,United States,226.19,False
ada2cc,United States,241.85,False
a4d65c,United States,69.7,False
a365a8,United States,215.81,False
a15b2f,United States,193.24,False
accb65,United States,0.0,True
a5e31c,United States,193.43,False
a2de17,United States,209.18,False
a78fcf,United States,272.21,False
a91fcf,United States,50.99,False
8840f8,Thailand,183.27,False
c03330,Canada,181.9,False
c0332c,Canada,235.61,False
a5d007,United States,203.2,False
a8b926,United States,0.0,True
a28e15,United States,227.07,False
a9fa9e,United States,261.82,False
a5d00a,United States,57.27,False
a6034a,United States,214.62,False
a74992,United States,170.2,False
a1be10,United States,70.19,False
a03b40,United States,202.18,False
ab271c,United States,58.83,False
aa3b05,United States,223.19,False
8016e0,India,274.22,False
a2cb33,United States,268.43,False
a52b19,United States,248.95,False
7c0b4c,Australia,58.03,False
47c1c2,Norway,295.82,False
8016db,India,193.97,False
a39b39,United States,206.23,False
8016de,India,204.07,False
8016dd,India,225.14,False
a748bc,United States,77.76,False
a1be72,United States,183.11,False
a4d5c7,United States,258.48,False
a41e2c,United States,253.81,False
a2cb12,United States,251.33,False
a2cb14,United States,225.23,False
a2cb13,United States,219.31,False
a39b20,United States,253.83,False
8016ae,India,239.74,False
896108,United Arab Emirates,234.88,False
8016bc,India,255.77,False
a125f9,United States,221.19,False
8016ba,India,6.43,True
896112,United Arab Emirates,76.67,False
a3eb3c,United States,47.8,False
a7ce03,United States,57.8,False
8016d0,India,65.07,False
8016d6,India,255.99,False
aa9093,United States,258.78,False
781b6e,China,204.76,False
a365b7,United States,239.51,False
8016bf,India,265.65,False
a65e4e,United States,43.27,False
a615d0,United States,241.97,False
a3eb59,United States,52.38,False
406948,United Kingdom,246.24,False
781b7b,China,134.24,False
8016d7,India,113.39,False
406947,United Kingdom,160.95,False
a15b4c,United States,214.34,False
8003f2,India,210.46,False
ac45ac,United States,190.73,False
a41e94,United States,6.69,True
84715c,Japan,72.1,False
ac45d5,United States,203.36,False
ac7b1b,United States,241.79,False
a12709,United States,196.98,False
a2de7e,United States,216.12,False
a3c8cb,United States,209.21,False
abbe4a,United States,229.48,False
7c0b6b,Australia,53.84,False
ad9b28,United States,246.1,False
8003e4,India,229.78,False
e49ca9,Brazil,167.84,False
ab5b66,United States,271.22,False
c07a7c,Canada,201.92,False
8470a0,Japan,199.37,False
406900,United Kingdom,174.25,False
abbce5,United States,269.98,False
a9c5c5,United States,0.0,True
7cb05d,Australia,173.88,False
a88b46,United States,33.55,False
ac8ce9,United States,242.03,False
801800,India,246.87,False
aa3b85,United States,214.89,False
ada302,United States,3.34,True
7cb065,Australia,133.26,False
a842ac,United States,201.48,False
ad5329,United States,232.28,False
7cb063,Australia,14.92,True
a24720,United States,177.04,False
a1272f,United States,266.85,False
8626cc,Japan,195.71,False
a988f0,United States,7.46,True
ac468d,United States,221.96,False
aca99c,United States,91.07,False
8a05d5,Indonesia,228.9,False
7cb059,Australia,69.48,False
a12711,United States,278.07,False
a12712,United States,239.09,False
7cb058,Australia,167.45,False
ada336,United States,227.91,False
a842e2,United States,89.5,False
ab004c,United States,88.8,False
ac335b,United States,212.03,False
3c15be,Germany,300.4,False
a88b4d,United States,52.78,False
a90e61,United States,73.58,False
adb656,United States,88.61,False
89618b,United Arab Emirates,291.46,False
781b03,China,106.93,False
3c15c1,Germany,252.01,False
a1270a,United States,0.06,True
a1270b,United States,195.11,False
a1270f,United States,263.49,False
aa4e80,United States,221.86,False
ac337e,United States,135.75,False
a90e1e,United States,68.42,False
a8b8ba,United States,177.0,False
a12778,United States,207.76,False
a24757,United States,244.65,False
a602ab,United States,2.57,True
896175,United Arab Emirates,253.03,False
896178,United Arab Emirates,302.37,False
a04dfa,United States,190.91,False
a4870d,United States,225.8,False
a868e4,United States,37.64,False
ac205f,United States,0.0,True
a5f5bf,United States,221.57,False
a868cb,United States,28.41,False
801850,India,243.88,False
ab38a1,United States,262.84,False
a12750,United States,69.64,False
a9b39e,United States,139.27,False
c07a0c,Canada,290.61,False
a7ce3f,United States,73.06,False
a842a9,United States,244.45,False
80180e,India,217.17,False
a722b1,United States,201.92,False
aa4e47,United States,204.17,False
a4c2f8,United States,218.84,False
801824,India,272.55,False
a8b8b9,United States,186.66,False
801828,India,164.78,False
781b47,China,215.1,False
896169,United Arab Emirates,265.75,False
c059ca,Canada,132.8,False
ad6821,United States,211.04,False
ab2854,United States,176.3,False
a5940f,United States,87.41,False
3c00af,Germany,222.36,False
a5941e,United States,243.21,False
a48759,United States,63.84,False
a1148c,United States,132.22,False
a0f46f,United States,219.7,False
ac4843,United States,12.35,True
a39ab4,United States,191.65,False
017073,Egypt,44.86,False
a1aaae,United States,244.68,False
a3a44a,United States,99.29,False
a59455,United States,83.32,False
a28de3,United States,219.96,False
ac8ee5,United States,1.8,True
a24782,United States,10.8,True
ac486a,United States,198.06,False
a3414e,United States,168.47,False
ababb7,United States,183.9,False
7c6287,Australia,124.05,False
7cc599,Australia,29.36,False
aae233,United States,5.4,True
e071cb,Argentina,215.66,False
ac3558,United States,228.83,False
ac4888,United States,0.06,True
ad684f,United States,1.54,True
a9fb4e,United States,93.42,False
ab5bf0,United States,191.96,False
ad6884,United States,230.19,False
ad9bc8,United States,221.54,False
aae23d,United States,216.6,False
ac8efa,United States,193.1,False
a2479f,United States,166.18,False
ada51e,United States,231.13,False
ada521,United States,206.36,False
e49d22,Brazil,226.5,False
ac7bf8,United States,7.72,True
8a03aa,Indonesia,174.1,False
8a03ac,Indonesia,137.18,False
8a03ad,Indonesia,216.49,False
a27aee,United States,199.93,False
a2347f,United States,47.34,False
ab00ce,United States,199.75,False
ad53ce,United States,200.37,False
0d12dd,Mexico,225.54,False
8018a8,India,158.24,False
a28f12,United States,146.09,False
ab00df,United States,49.58,False
8018b2,India,186.31,False
c0478e,Canada,115.63,False
a126c4,United States,82.83,False
a04f75,United States,178.21,False
8a051f,Indonesia,74.8,False
aae0db,United States,165.94,False
ac20e7,United States,246.38,False
acdf9a,United States,214.36,False
ad40c7,United States,38.19,False
a6049b,United States,61.48,False
a9b402,United States,160.49,False
a04f49,United States,62.25,False
8a0515,Indonesia,225.54,False
a3549d,United States,273.95,False
a126ed,United States,11.83,True
a03c67,United States,100.57,False
a6add1,United States,30.36,False
a77de9,United States,270.62,False
a5945e,United States,169.2,False
a41f37,United States,203.88,False
7c753d,Australia,105.79,False
7020a2,Bangladesh,108.09,False
a1bf3a,United States,6.94,True
7020ab,Bangladesh,264.25,False
7020ac,Bangladesh,1.03,True
a61797,United States,196.54,False
a6177c,United States,39.73,False
ac4801,United States,221.02,False
a379dd,United States,179.8,False
ac4805,United States,81.5,False
a499c3,United States,153.46,False
a126cc,United States,195.71,False
a379d3,United States,182.23,False
a5e44c,United States,145.89,False
ab282b,United States,0.0,True
a379cd,United States,242.47,False
e49bff,Brazil,76.18,False
a2a9c9,United States,247.52,False
a126e6,United States,265.84,False
a126e7,United States,12.86,True
a126e8,United States,75.71,False
a7cdc8,United States,7.2,True
a499a0,United States,223.94,False
a39c62,United States,218.48,False
a41f6c,United States,217.34,False
a64c16,United States,44.29,False
c81a03,New Zealand,43.05,False
a233e7,United States,238.73,False
a989c1,United States,251.51,False
a353c8,United States,253.9,False
a353d2,United States,220.54,False
ab5c26,United States,231.45,False
a27c59,United States,35.44,False
a03c7e,United States,221.43,False
adc9b6,United States,202.25,False
ad79e8,United States,223.99,False
4bb1c5,Turkey,230.84,False
a15c80,United States,112.38,False
4892c5,Poland,221.51,False
ac33a3,United States,249.63,False
a28f6a,United States,56.2,False
abbf49,United States,241.24,False
c04738,Canada,190.5,False
ab5c3a,United States,47.86,False
4bb1c6,Turkey,242.35,False
a486b3,United States,62.26,False
a83174,United States,219.7,False
ad79eb,United States,236.39,False
a460d1,United States,64.06,False
a53f20,United States,99.8,False
c07b8c,Canada,206.15,False
a340f4,United States,90.13,False
ac33c4,United States,247.87,False
abac2a,United States,56.36,False
ab5c69,United States,2.06,True
847294,Japan,183.64,False
884203,Thailand,71.62,False
884205,Thailand,183.42,False
7380c2,Israel,79.94,False
7380c3,Israel,225.87,False
a9778d,United States,152.65,False
c81a5b,New Zealand,165.77,False
a220cb,United States,2.57,True
ac7c52,United States,237.91,False
344346,Spain,175.55,False
abac48,United States,261.5,False
7380ca,Israel,280.6,False
8a0551,Indonesia,233.17,False
ac7c67,United States,131.78,False
aa915f,United States,150.39,False
c81a90,New Zealand,150.65,False
abbdfa,United States,221.37,False
a09201,United States,255.6,False
a1bea8,United States,2.06,True
ab014c,United States,31.14,False
a03bb5,United States,13.67,False
acddf8,United States,82.6,False
ad5460,United States,202.74,False
a12861,United States,0.45,True
ab1496,United States,6.43,True
a16ebc,United States,246.79,False
adb782,United States,167.25,False
ab149c,United States,110.55,False
a9d9f2,United States,0.9,True
ac2154,United States,107.83,False
a5d0f5,United States,42.81,False
a830d6,United States,149.07,False
abaadd,United States,217.75,False
8a04a9,Indonesia,232.25,False
a976df,United States,35.19,False
a3a503,United States,280.69,False
acddef,United States,77.39,False
ab017b,United States,265.04,False
ac2173,United States,199.02,False
a3a509,United States,268.04,False
840a7c,Japan,5.4,True
7cc47a,Australia,33.14,False
a976c7,United States,2.06,False
a8b9e8,United States,119.02,False
4bb325,Turkey,290.62,False
c032a2,Canada,145.32,False
abaafe,United States,174.76,False
781c40,China,233.12,False
a7cf40,United States,220.69,False
a3ec93,United States,252.89,False
a1bee0,United States,177.81,False
a2486f,United States,146.42,False
a03bfd,United States,212.86,False
a976a5,United States,241.07,False
a89f80,United States,158.25,False
a603f3,United States,91.62,False
a4b0bb,United States,270.32,False
c045f1,Canada,227.8,False
a16ee0,United States,219.7,False
a03bcd,United States,0.0,True
a09239,United States,248.92,False
a1286c,United States,9.26,True
ab39e3,United States,98.45,False
a89f62,United States,0.0,False
a90f3d,United States,234.07,False
4079eb,United Kingdom,141.87,False
a57362,United States,241.61,False
7cc686,Australia,42.58,False
ac5ab7,United States,195.37,False
a02e0a,United States,185.09,False
a3338c,United States,203.77,False
7c769b,Australia,22.73,False
abe101,United States,208.11,False
a5d668,United States,215.05,False
a32068,United States,140.72,False
a02e21,United States,54.57,False
4066ab,United Kingdom,281.32,False
8a0815,Indonesia,239.94,False
a70330,United States,51.44,False
a57379,United States,59.38,False
ac011d,United States,7.46,True
7cc668,Australia,36.81,False
ad2103,United States,51.81,False
adddd5,United States,5.14,True
acaaad,United States,153.24,False
a56050,United States,9.26,True
abe124,United States,217.98,False
ad7ab8,United States,199.94,False
a0c075,United States,266.34,False
a81000,United States,81.36,False
a81001,United States,10.29,True
ac0143,United States,230.22,False
a70355,United States,224.47,False
c012bd,Canada,211.71,False
acaab9,United States,44.12,False
a1e09c,United States,86.4,False
ac147e,United States,3.09,True
a4c96c,United States,7.72,True
4bb299,Turkey,200.47,False
aa1aa8,United States,85.21,False
4bb296,Turkey,230.15,False
a358a5,United States,52.78,False
a60986,United States,59.62,False
a26e0f,United States,228.5,False
a0f8cb,United States,136.55,False
ac015f,United States,250.42,False
ac5afd,United States,221.09,False
ad2160,United States,126.56,False
7c6393,Australia,37.38,False
a58672,United States,129.76,False
4bb274,Turkey,255.74,False
4bb272,Turkey,219.54,False
a5d643,United States,208.93,False
4bb26f,Turkey,224.59,False
4bb26d,Turkey,225.86,False
a095aa,United States,189.82,False
c06e38,Canada,29.33,False
3c5b32,Germany,1.54,False
896409,United Arab Emirates,282.3,False
a01b5c,United States,201.22,False
896407,United Arab Emirates,182.51,False
020175,Morocco,221.13,False
a37b0c,United States,75.8,False
e065d3,Argentina,213.6,False
adde95,United States,164.15,False
a105ff,United States,47.08,False
a9ecdb,United States,1.03,True
a082ac,United States,163.09,False
a095f0,United States,153.13,False
a0f8f1,United States,135.12,False
a01b56,United States,213.24,False
c038a3,Canada,249.16,False
a4c8de,United States,0.0,True
a25b79,United States,79.64,False
02012b,Morocco,226.3,False
a2be6d,United States,176.86,False
506ca0,Slovenia,234.62,False
4bb1a3,Turkey,256.95,False
ac6dc0,United States,228.69,False
a6e361,United States,202.69,False
a8233a,United States,211.28,False
ac2747,United States,221.75,False
4bb1a4,Turkey,119.88,False
aae757,United States,62.13,False
a38e69,United States,215.92,False
34659a,Spain,199.5,False
a26e90,United States,73.58,False
a3a8c0,United States,232.07,False
a8103e,United States,8.75,True
a95665,United States,131.18,False
a25b66,United States,212.09,False
84c43e,Japan,239.59,False
ac142e,United States,267.53,False
a3a8ba,United States,149.15,False
a465ad,United States,36.23,False
a25b3f,United States,243.11,False
ad4747,United States,4.63,True
020145,Morocco,221.05,False
a8dffc,United States,192.25,False
acab11,United States,198.87,False
a9a5a2,United States,183.9,False
896372,United Arab Emirates,264.82,False
780a64,China,7.72,True
780a65,China,252.81,False
e80616,Chile,201.46,False
e80610,Chile,218.13,False
344043,Spain,0.0,False
aae5f7,United States,259.7,False
acbe37,United States,143.81,False
acbe36,United States,97.55,False
ad7b17,United States,174.49,False
aa2e6f,United States,0.0,True
780a6b,China,243.37,False
c02655,Canada,197.48,False
ac5b43,United States,175.3,False
e80623,Chile,224.51,False
ac12d6,United States,247.11,False
e80629,Chile,224.03,False
abf2c2,United States,143.84,False
780a6e,China,76.45,False
a2ab6c,United States,248.09,False
780a89,China,263.53,False
780a7a,China,2.06,True
